Dataset,Model,Scaler,MAE,RMSE,R2
US,GB,Z-Score,0.2153,0.3683,0.8916
US,GB,MinMax,0.0426,0.0715,0.8906
US,GB,Log,0.2062,0.3551,0.864
US,CART,Z-Score,0.2763,0.4229,0.8573
US,CART,MinMax,0.0477,0.0776,0.8713
US,CART,Log,0.2548,0.4087,0.8199
US,CatBoost,Z-Score,0.2433,0.3877,0.88
US,CatBoost,MinMax,0.0434,0.0724,0.8877
US,CatBoost,Log,0.2143,0.3585,0.8615
US,ET,Z-Score,0.2101,0.398,0.8736
US,ET,MinMax,0.0398,0.0767,0.8744
US,ET,Log,0.1789,0.3676,0.8542
US,LGBM,Z-Score,0.2533,0.3933,0.8766
US,LGBM,MinMax,0.0438,0.0726,0.8871
US,LGBM,Log,0.2229,0.3638,0.8573
US,RF,Z-Score,0.2015,0.3751,0.8877
US,RF,MinMax,0.0386,0.072,0.8891
US,RF,Log,0.1882,0.3569,0.8626
US,RR,Z-Score,0.4121,0.5214,0.7829
US,RR,MinMax,0.0738,0.0972,0.798
US,RR,Log,0.3421,0.4584,0.773
US,SVR,Z-Score,0.348,0.5084,0.7932
US,SVR,MinMax,0.0776,0.0995,0.7884
US,SVR,Log,0.3319,0.4647,0.766
US,Stacked,Z-Score,0.2442,0.402,0.8708
US,Stacked,MinMax,0.047,0.0778,0.8707
US,Stacked,Log,0.2402,0.3833,0.8406
US,XGBoost,Z-Score,0.2594,0.4342,0.8489
US,XGBoost,MinMax,0.0427,0.0751,0.8794
US,XGBoost,Log,0.2208,0.3796,0.8444
Indian,GB,Z-Score,0.2861,0.4527,0.8119
Indian,GB,MinMax,0.0707,0.1126,0.8132
Indian,GB,Log,0.0689,0.107,0.8557
Indian,CART,Z-Score,0.256,0.4606,0.8049
Indian,CART,MinMax,0.0595,0.1017,0.8474
Indian,CART,Log,0.0586,0.1048,0.8609
Indian,CatBoost,Z-Score,0.3335,0.5368,0.7333
Indian,CatBoost,MinMax,0.0766,0.1203,0.7869
Indian,CatBoost,Log,0.077,0.121,0.8145
Indian,ET,Z-Score,0.2252,0.4391,0.8208
Indian,ET,MinMax,0.0557,0.1092,0.8225
Indian,ET,Log,0.0523,0.104,0.8627
Indian,LGBM,Z-Score,0.3165,0.4724,0.7933
Indian,LGBM,MinMax,0.0699,0.1082,0.8252
Indian,LGBM,Log,0.0684,0.108,0.8512
Indian,RF,Z-Score,0.1846,0.3658,0.8756
Indian,RF,MinMax,0.0435,0.0911,0.8762
Indian,RF,Log,0.0441,0.0905,0.8957
Indian,RR,Z-Score,0.4283,0.5768,0.6957
Indian,RR,MinMax,0.1114,0.1467,0.6844
Indian,RR,Log,0.1097,0.1474,0.7264
Indian,SVR,Z-Score,0.4216,0.5912,0.6802
Indian,SVR,MinMax,0.1084,0.1447,0.6931
Indian,SVR,Log,0.1047,0.1429,0.7429
Indian,Stacked,Z-Score,0.287,0.5322,0.7338
Indian,Stacked,MinMax,0.0734,0.1379,0.7164
Indian,Stacked,Log,0.0648,0.1163,0.8251
Indian,XGBoost,Z-Score,0.2631,0.4942,0.7741
Indian,XGBoost,MinMax,0.062,0.121,0.7833
Indian,XGBoost,Log,0.0637,0.1222,0.809
Extended,GB,Z-Score,0.1718,0.2151,0.9534
Extended,GB,MinMax,0.0377,0.0471,0.9533
Extended,GB,Log,0.1155,0.1573,0.9423
Extended,CART,Z-Score,0.2091,0.2673,0.928
Extended,CART,MinMax,0.0455,0.058,0.9293
Extended,CART,Log,0.1404,0.1959,0.9106
Extended,CatBoost,Z-Score,0.1792,0.2227,0.95
Extended,CatBoost,MinMax,0.0397,0.0492,0.9492
Extended,CatBoost,Log,0.1213,0.1655,0.9362
Extended,ET,Z-Score,0.1772,0.2233,0.9498
Extended,ET,MinMax,0.0385,0.0485,0.9506
Extended,ET,Log,0.1167,0.1571,0.9424
Extended,LGBM,Z-Score,0.1904,0.2396,0.9421
Extended,LGBM,MinMax,0.0406,0.0508,0.9458
Extended,LGBM,Log,0.1276,0.1767,0.9272
Extended,RF,Z-Score,0.1767,0.2223,0.9502
Extended,RF,MinMax,0.0387,0.0487,0.9503
Extended,RF,Log,0.1174,0.1591,0.9409
Extended,RR,Z-Score,0.2295,0.2822,0.9194
Extended,RR,MinMax,0.0438,0.0547,0.9372
Extended,RR,Log,0.1716,0.2307,0.8759
Extended,SVR,Z-Score,0.2296,0.2824,0.9191
Extended,SVR,MinMax,0.0454,0.0565,0.933
Extended,SVR,Log,0.1716,0.2467,0.8577
Extended,Stacked,Z-Score,0.1767,0.2218,0.9504
Extended,Stacked,MinMax,0.0386,0.0484,0.9509
Extended,Stacked,Log,0.1166,0.1592,0.9408
Extended,XGBoost,Z-Score,0.1892,0.2396,0.9422
Extended,XGBoost,MinMax,0.0424,0.0534,0.94
Extended,XGBoost,Log,0.1303,0.1842,0.9208
